Isla	Estudio	Pradera	Sitio	Lat	Long	Profundidad	Fecha	Cober	Densidad 	Longitud	ZEC
Lanzarote	Rogelio	Franceses 	Franceses1	29,2180	-13,5291	8	03/06/2013	0	0		si
Lanzarote	Rogelio	Franceses	Franceses2	29,2170	-13,5300	12	03/06/2013	0	0		si
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/01/2019		666	3,4	si
Gran Canaria	Tuya.et.al.2013 	Gando	A	27,8714	-15,3860	5	01/02/2011		28	3,6	si
Gran Canaria	Perez1996	Taliarte	50	27,9889	-15,3694	7	01/08/1994		914	4,44	no
Lanzarote	Rogelio	Salado		29,2217	-13,5072	8	03/06/2013	10	488	4,444761905	si
Tenerife	CIMA	Igueste	IG-9	28,5316	-16,1303	13,5	01/12/2007		368	5,04	si
Tenerife	CIMA	Caletillas	CAL-2	28,3840	-16,3512	19	21/11/2007		24	5,7	no
Tenerife	CIMA	Igueste	IG-9	28,5316	-16,1303	13,5	01/12/2006		595,2	5,8	si
Tenerife	CIMA	Caletillas	CAL-5	28,3762	-16,3590	12	01/07/2007		14,4	5,9	no
Gran Canaria	Perez1996	Gando	Interna	27,9317	-15,3717	4	01/05/1995		2145	6	si
La Gomera	Plan.Conservación.C.nodosa	Guancha	B	28,0711	-17,1277	7	12/03/2005	53,7	422	6,3	si
Gran Canaria	Tuya.et.al.2013 	Gando	A	27,8714	-15,3860	5	01/08/2011		42	6,4	si
Lanzarote	CIMA	Puerto.Calero	M2	28,9144	-13,7105	7,2	16/03/2005		168	6,42	no
Tenerife	CIMA	Igueste	IG-4	28,5173	-16,1612	15	01/12/2007		125,92	6,74	si
Tenerife	CIMA	Igueste	IG-5	28,5152	-16,1667	15	01/12/2007		164	6,74	si
Fuerteventura	Rogelio	Playa.Blanca		28,8612	-13,8294	6	02/06/2013	60	984	6,773333333	no
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/01/2018		736	7,1	si
Tenerife	CIMA	Igueste	IG-7	28,5155	-16,1519	23,5	01/12/2007		124	7,49	si
Fuerteventura	Rogelio	Playa.Blanca		28,8551	-13,8289	15	02/06/2013	15	382,4	7,52	no
La Gomera	CCV	Guancha	A	28,0711	-17,1277	8	11/10/2004	75,2	332	7,75	si
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/01/2018		138	7,9	no
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/01/2017		309	8,3	no
Tenerife	CIMA	Caletillas	CAL-5	28,3762	-16,3590	12	21/11/2007		112	8,4	no
Gran Canaria	Tuya.et.al.2013	Roque.Arinaga	A	27,8583	-15,3800	12	01/02/2011		164	8,4	no
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/03/2015		298	8,5	si
La Gomera	CCV	Guancha	A	28,0701	-17,1263	15	12/03/2005	100	346	8,5	si
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/01/2020		245	8,6	no
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/01/2021		506	8,7	no
Tenerife	CIMA	Igueste	IG-7	28,5155	-16,1519	23,5	01/12/2006		316,8	8,8	si
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/01/2019		666	8,8	no
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/03/2016		485	8,8	si
Gran Canaria	Polifrone.et.al.2006	Gando	B	27,9347	-15,3762	9	03/06/2004		166,7	9,07	si
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/01/2017		384	9,1	si
La Gomera	CCV	Guancha	B	28,0711	-17,1277	8	11/10/2004	71,8	366	9,1	si
Tenerife	CIMA	Granadilla	BU6-final	28,0246	-16,5594	24,4	01/09/2008		86,4	9,2	no
Tenerife	CIMA	Igueste	IG-4	28,5173	-16,1612	15	01/12/2006		179,2	9,4	si
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/01/2018		304	9,4	si
Fuerteventura	CCV	Corralejo	A	28,6691	-13,8298	13	09/03/2004	100	408	9,5	si
Gran Canaria	PVA.Manc.Sureste	Formas	Formas	27,8369	-15,4099	16,7	18/03/2013	88	316,44	9,5	no
Lanzarote	CIMA	Puerto.Calero	M3	28,9153	-13,7083	8,5	17/03/2005		185,6	9,54	no
Gran Canaria	EIA.Jaulas.Castillo	Juncalillo	Castillo del Romeral	27,7884	-15,4923	6	06/02/2009	25	96	9,6	no
Gran Canaria	Perez1996	Risco.Verde		27,8589	-15,3861	10	01/02/1996		1790	9,6	no
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/03/2015		213	9,6	no
Lanzarote	CCV	Playa.Blanca	B	28,8598	-13,8273	6	10/03/2004	80	508	10	no
Fuerteventura	CCV	Corralejo	B	28,6691	-13,8298	14	09/03/2004	100	400	10	si
Gran Canaria	EIA.Jaulas.Castillo	Juncalillo	Castillo del Romeral	27,7884	-15,4923	12	06/02/2009	40	160	10	no
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/01/2019		314	10	no
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/01/2017		586	10	si
Gran Canaria	Elittoral.PVA Sur	Veril	A	27,7617	-15,5572		01/08/2008	31	698,4	10,2	no
Tenerife	CIMA	Igueste	IG-5	28,5152	-16,1667	15	01/12/2006		211,2	10,2	si
Gran Canaria	Elittoral.PVA Sur	Veril	C	27,7618	-15,5572		01/08/2008	4	179,2	10,4	no
Gran Canaria	Barberá.et.al.2005	Gando	B	27,8704	-15,3850	6	11/03/2003	42,5	276	10,4	si
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/03/2016		197	10,4	no
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/01/2018		266	10,4	no
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/01/2021		245	10,4	no
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/03/2015		453	10,4	si
Lanzarote	Tuya et.al.2006	Playa.Dorada	A	28,8583	-13,8233	6	01/03/2002	100	510	10,5	no
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/03/2016		208	10,5	no
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/01/2017		581	10,5	si
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/01/2017		448	10,6	si
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/01/2020		645	10,7	si
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/03/2016		570	10,7	si
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/01/2020		576	10,8	no
Gran Canaria	Perez1996	Pasito	0	27,7464	-15,6192	8	01/12/1994		323	10,9	no
Tenerife	CIMA	Caletillas	CAL-2	28,3840	-16,3512	19	01/06/2007		30,4	11	no
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/01/2017		597	11	si
Fuerteventura	CCV	Esquinzo	C	28,0759	-14,2921	5	12/03/2005		132	11,2	si
Gran Canaria	Perez1996	Gando	interna	27,9317	-15,3717	4	01/08/1995		1676	11,29	si
Lanzarote	CCV	El.Río	A	29,2162	-13,5044	8	18/05/2004	72,5	250	11,3	si
Gran Canaria	CCV	Gando	B	27,8704	-15,3850	11	09/03/2005	32	179	11,4	si
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/01/2019		464	11,4	si
Lanzarote	Tuya et.al.2006	Playa.Dorada	A	28,8583	-13,8233	6	01/01/2001	100	390	11,5	no
Gran Canaria	CCV	Maspalomas	B	27,7286	-15,6009	17	02/05/2004	75	6	11,6	si
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/01/2021		1168	11,8	si
Gran Canaria	Perez1996	S.Agueda		27,7528	-15,6583	6	01/06/1994		1168	11,9	no
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/01/2017		325	11,9	no
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/01/2018		602	11,9	si
Lanzarote	Rogelio	Fariones		29,2351	-13,4773	18	03/06/2013	20	310,4	11,95333333	si
Gran Canaria	Perez1996	Gando	interna	27,9317	-15,3717	12	01/02/1996		1650	12	si
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/01/2021		698	12	si
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/01/2020		704	12,1	no
Gran Canaria	Tuya.et.al.2013	Pasito	A	27,7438	-15,6178	8	01/02/2011		57	12,1	no
Gran Canaria	Tuya.et.al.2013	Risco.Verde	A	27,8553	-15,3850	9	01/02/2011		76	12,1	no
Gran Canaria	Perez1996	Gando	A	27,9313	-15,3706	5	01/12/1994		1980	12,1	si
Gran Canaria	CCV	Gando	A	27,8704	-15,3850	6	09/03/2005	44,5	158	12,2	si
Gran Canaria	CIMA	Castillo 	SEB-1	28,0767	-15,4131	16	07/12/2006	3	76,8	12,2	no
Gran Canaria	CCV	Gando	B	27,8704	-15,3850	7	14/04/2004	46,25	536	12,3	si
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/02/2014		520	12,3	si
Tenerife	CCV	Americas	B	28,0758	-16,7397	11	02/10/2004	59,5	145	12,3	si
Lanzarote	Rogelio	Caleta.Sebo	Caleta.Sebo	29,2202	-13,5062	8	03/06/2013	5	272	12,37666667	si
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/01/2019		682	12,4	si
Tenerife	CIMA	Granadilla	BU12-final	28,0641	-16,4975	26,6	17/05/2004		147,2	12,44	no
Fuerteventura	CCV	Costa.Calma	A	28,1511	-14,2220	5	12/03/2005		136	12,5	si
Gran Canaria	CCV	Gando	A	27,8704	-15,3850	6	14/04/2004	38,7	314	12,5	si
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/03/2016		448	12,5	no
Gran Canaria	Perez1996	Juncalillo	V	27,7811	-15,5117	12	01/12/1994		247	12,6	no
Gran Canaria	CIMA	Castillo 	SEB-1	28,0767	-15,4131	16	25/02/2007	3	240	12,6	no
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/03/2016		384	12,6	si
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/01/2020		1050	12,6	si
Gran Canaria	Perez1996	Taliarte	100	27,9889	-15,3694	8	01/08/1994		1371	12,61	no
Lanzarote	Barberá.et.al.2005	Playa.Blanca	B	28,8614	-13,8303	7	01/03/2003	94 ,2	692	12,7	no
El Hierro	CCV	Caleta	A	27,7994	-17,8877	15	20/03/2005	87,5	179	12,7	no
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/03/2015		522	12,9	si
Fuerteventura	CCV	Costa.Calma	B	28,1511	-14,2220	15	12/03/2005		180	13	si
Tenerife	CCV	Medano	A	28,0402	-16,5392	5	04/04/2005	100	362	13	si
Tenerife	CCV	Americas	A	28,0758	-16,7397	11	02/10/2004	43	114	13	si
Lanzarote	CCV	Playa.Blanca	A	28,8598	-13,8273	7	10/03/2004	77,5	528	13,1	no
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/01/2021		869	13,1	si
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/01/2019		693	13,1	si
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/01/2019		842	13,2	no
Gran Canaria	CCV	Maspalomas	A	27,7286	-15,6009	16	02/05/2004	65	22	13,3	si
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/08/2018		778	13,3	no
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/01/2021		661	13,3	no
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/01/2021		986	13,3	no
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/01/2020		1376	13,4	si
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/01/2017		426	13,4	no
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/01/2019		762	13,5	si
Gran Canaria	Perez1996	Gando	pìscina	27,9310	-15,3644	17	01/05/1995		2971	13,7	si
Gran Canaria	Tuya.et.al.2013	Pasito	A	27,7438	-15,6178	8	01/08/2011		81	13,7	no
Lanzarote	CCV	Playa.Quemada	A	28,9044	-13,7348	8	10/03/2004	95	520	13,8	no
Gran Canaria	Perez1996	Gando	media	27,9325	-15,3694	18	01/05/1995		1498	14	si
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/01/2017		293	14	no
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/09/2016		1082	14	no
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/01/2020		1024	14,1	si
